1.00000E-01	4.60104E-02
6.02010E-01	5.23412E-02
1.10402E+00	6.05759E-02
1.60603E+00	4.92476E-02
2.10804E+00	3.16101E-02
2.61005E+00	1.86229E-02
3.11206E+00	1.08125E-02
3.61407E+00	6.36658E-03
4.11608E+00	3.83885E-03
4.61809E+00	2.36556E-03
5.12010E+00	1.49301E-03
5.62211E+00	9.66480E-04
6.12412E+00	6.40950E-04
6.62613E+00	4.34355E-04
7.12814E+00	3.00152E-04
7.63015E+00	2.11132E-04
8.13216E+00	1.50956E-04
8.63417E+00	1.09575E-04
9.13618E+00	8.06236E-05
9.63819E+00	6.00789E-05
1.01402E+01	4.52977E-05
1.06422E+01	3.45265E-05
1.11442E+01	2.65837E-05
1.16462E+01	2.06612E-05
1.21482E+01	1.61994E-05
1.26503E+01	1.28054E-05
1.31523E+01	1.02004E-05
1.36543E+01	8.18390E-06
1.41563E+01	6.61056E-06
1.46583E+01	5.37374E-06
1.51603E+01	4.39458E-06
1.56623E+01	3.61422E-06
1.61643E+01	2.98832E-06
1.66663E+01	2.48333E-06
1.71683E+01	2.07358E-06
1.76704E+01	1.73932E-06
1.81724E+01	1.46521E-06
1.86744E+01	1.23941E-06
1.91764E+01	1.05252E-06
1.96784E+01	8.97153E-07
2.01804E+01	7.67445E-07
2.06824E+01	6.58724E-07
2.11844E+01	5.67246E-07
2.16864E+01	4.89994E-07
2.21884E+01	4.24526E-07
2.26905E+01	3.68856E-07
2.31925E+01	3.21365E-07
2.36945E+01	2.80725E-07
2.41965E+01	2.45844E-07
2.46985E+01	2.15819E-07
2.52005E+01	1.89905E-07
2.57025E+01	1.67478E-07
2.62045E+01	1.48021E-07
2.67065E+01	1.31097E-07
2.72085E+01	1.16343E-07
2.77106E+01	1.03450E-07
2.82126E+01	9.21596E-08
2.87146E+01	8.22509E-08
2.92166E+01	7.35368E-08
2.97186E+01	6.58578E-08
3.02206E+01	5.90778E-08
3.07226E+01	5.30803E-08
3.12246E+01	4.77642E-08
3.17266E+01	4.30459E-08
3.22286E+01	3.88503E-08
3.27307E+01	3.51131E-08
3.32327E+01	3.17791E-08
3.37347E+01	2.88001E-08
3.42367E+01	2.61342E-08
3.47387E+01	2.37449E-08
3.52407E+01	2.16016E-08
3.57427E+01	1.96739E-08
3.62447E+01	1.79389E-08
3.67467E+01	1.63760E-08
3.72487E+01	1.49650E-08
3.77508E+01	1.36901E-08
3.82528E+01	1.25372E-08
3.87548E+01	1.14928E-08
3.92568E+01	1.05458E-08
3.97588E+01	9.68612E-09
4.02608E+01	8.90545E-09
4.07628E+01	8.19493E-09
4.12648E+01	7.54786E-09
4.17668E+01	6.95799E-09
4.22688E+01	6.41970E-09
4.27709E+01	5.92800E-09
4.32729E+01	5.47847E-09
4.37749E+01	5.06692E-09
4.42769E+01	4.69016E-09
4.47789E+01	4.34470E-09
4.52809E+01	4.02772E-09
4.57829E+01	3.73661E-09
4.62849E+01	3.46903E-09
4.67869E+01	3.22287E-09
4.72889E+01	2.99646E-09
4.77910E+01	2.78774E-09
4.82930E+01	2.59516E-09
4.87950E+01	2.41742E-09
4.92970E+01	2.25334E-09
4.97990E+01	2.10167E-09
5.03010E+01	1.96135E-09
5.08030E+01	1.83156E-09
5.13050E+01	1.71139E-09
5.18070E+01	1.60000E-09
5.23090E+01	1.49672E-09
5.28111E+01	1.40086E-09
5.33131E+01	1.31188E-09
5.38151E+01	1.22920E-09
5.43171E+01	1.15239E-09
5.48191E+01	1.08089E-09
5.53211E+01	1.01434E-09
5.58231E+01	9.52365E-10
5.63251E+01	8.94612E-10
5.68271E+01	8.40736E-10
5.73291E+01	7.90501E-10
5.78312E+01	7.43613E-10
5.83332E+01	6.99825E-10
5.88352E+01	6.58913E-10
5.93372E+01	6.20667E-10
5.98392E+01	5.84898E-10
6.03412E+01	5.51439E-10
6.08432E+01	5.20102E-10
6.13452E+01	4.90750E-10
6.18472E+01	4.63244E-10
6.23492E+01	4.37455E-10
6.28513E+01	4.13266E-10
6.33533E+01	3.90558E-10
6.38553E+01	3.69246E-10
6.43573E+01	3.49229E-10
6.48593E+01	3.30420E-10
6.53613E+01	3.12738E-10
6.58633E+01	2.96103E-10
6.63653E+01	2.80458E-10
6.68673E+01	2.65732E-10
6.73693E+01	2.51867E-10
6.78714E+01	2.38806E-10
6.83734E+01	2.26495E-10
6.88754E+01	2.14894E-10
6.93774E+01	2.03953E-10
6.98794E+01	1.93632E-10
7.03814E+01	1.83890E-10
7.08834E+01	1.74694E-10
7.13854E+01	1.66009E-10
7.18874E+01	1.57807E-10
7.23894E+01	1.50052E-10
7.28915E+01	1.42720E-10
7.33935E+01	1.35786E-10
7.38955E+01	1.29225E-10
7.43975E+01	1.23017E-10
7.48995E+01	1.17140E-10
7.54015E+01	1.11574E-10
7.59035E+01	1.06302E-10
7.64055E+01	1.01304E-10
7.69075E+01	9.65695E-11
7.74095E+01	9.20791E-11
7.79116E+01	8.78213E-11
7.84136E+01	8.37819E-11
7.89156E+01	7.99500E-11
7.94176E+01	7.63114E-11
7.99196E+01	7.28563E-11
8.04216E+01	6.95747E-11
8.09236E+01	6.64570E-11
8.14256E+01	6.34941E-11
8.19276E+01	6.06775E-11
8.24296E+01	5.79994E-11
8.29317E+01	5.54521E-11
8.34337E+01	5.30287E-11
8.39357E+01	5.07226E-11
8.44377E+01	4.85274E-11
8.49397E+01	4.64375E-11
8.54417E+01	4.44473E-11
8.59437E+01	4.25515E-11
8.64457E+01	4.07453E-11
8.69477E+01	3.90240E-11
8.74497E+01	3.73832E-11
